identifier,d_interlayer,bond_average,bond_equatorial,bond_axial,angleXMX_average,angleXMX_equatorial,angleXMX_axial,angleMXM_average
377,4.343206141908205,3.223317027681263,3.2153905179810183,3.2391700470817506,170.40172903860045,168.45000592183544,174.30517527213038,146.41501851377893
378,4.101177833321607,3.2377927237757262,3.221919921373426,3.2695383285803263,173.36366665453681,175.42724085975476,169.23651824410095,148.44182941360268
379,8.16449147685113,3.206034070729315,3.184583570318285,3.2489350715513767,171.05965167780292,169.19400026023624,174.79095451293625,150.7614749767614
380,6.026088065387496,3.1778584766535865,3.186083624310763,3.161408181339233,175.42910888207425,175.65807835952393,174.97116992717488,169.45522018729176
381,6.720004414930834,3.2564928716400523,3.2643424788896116,3.240793657140933,167.77071138594377,165.61987441139934,172.07238533503264,151.14790837705198
382,7.233781477435686,3.205200654378111,3.197194149164302,3.22121366480573,171.48595568163913,173.40298974859394,167.65188754772953,157.09479334335052
383,7.320727345364533,3.194594286405335,3.181998197339871,3.219786464536263,177.23343579593202,176.5076041578908,178.68509907201445,151.1514874887051
384,7.436786275327059,3.190932301903493,3.172256037238659,3.22828483123316,172.1046528059131,174.21561376866157,167.88273088041612,156.7285210304864
385,7.683693066830153,3.1811365257776587,3.1652325291048635,3.212944519123251,168.91999039939734,166.99807884037176,172.76381351744848,153.6341417049606
386,7.547510585737985,3.2062216961854766,3.1960477345746043,3.22656961940722,172.95222021238303,174.55004222994805,169.7565761772529,153.72959542660033
387,7.582108571676799,3.1981301621764686,3.207481715150746,3.179427056227914,167.5895385557308,165.05085044741043,172.66691477237168,162.2341235952827
388,7.888318726504879,3.234261209829795,3.2437568577925107,3.215269913904364,169.26981510541077,171.0638112216651,165.6818228729021,150.18304474410402
389,4.998040320092505,3.1898435640243092,3.1834374593146935,3.2026557734435412,179.86571316235984,179.84515012014498,179.90683924678956,152.4097370115847
390,5.420769447067746,3.258048071567998,3.284707912066363,3.204728390571267,168.24406731156958,168.84806652626233,167.0360688821841,150.12145399137876
391,5.845163839581032,3.248822810326829,3.26611019514816,3.214248040684166,172.7400937233924,171.76101086618084,174.6982594378155,153.69533169303605
392,6.06840429103217,3.2618812380048112,3.2904049477474286,3.2048338185195755,171.49107805923802,170.39116649689436,173.6909011839254,148.9269333606581
393,6.044280268605097,3.256630256425364,3.2896787693219434,3.1905332306322047,172.836227792617,171.46694715156286,175.57478907472526,148.14588490017735
394,6.241256652349156,3.253942381913848,3.2746376348929287,3.212551875955687,163.64693371382683,160.24796834979944,170.44486444188152,151.6489915245168
