identifier,HOMO,LUMO,HOMO_LUMO_gap
553,-11.582,-7.159,4.423000000000001
554,-14.17,-9.711,4.459
555,-12.158,-7.253,4.904999999999999
556,-12.1,-7.365,4.734999999999999
557,-12.89,-8.045,4.845000000000001
558,-13.126,-8.264,4.862
559,-12.784,-7.842,4.942000000000001
560,-12.822,-7.874,4.9479999999999995
561,-13.081,-8.298,4.7829999999999995
562,-12.758,-8.272,4.485999999999999
563,-13.034,-8.042,4.992000000000001
564,-12.894,-7.693,5.2010000000000005
565,-12.297,-7.302,4.995000000000001
566,-12.562,-7.797,4.765
567,-12.625,-7.844,4.781
568,-12.548,-7.784,4.764
569,-12.385,-7.585,4.8
570,-12.457,-7.648,4.809000000000001
571,-11.39,-7.458,3.9320000000000004
572,-11.453,-7.71,3.7429999999999994
573,-13.824,-10.269,3.5549999999999997
574,-14.426,-10.47,3.9559999999999995
575,-11.732,-7.971,3.7609999999999992
576,-11.587,-7.998,3.5889999999999995
577,-12.547,-8.802,3.745000000000001
578,-12.71,-8.91,3.8000000000000007
579,-11.993,-8.399,3.594000000000001
580,-12.208,-8.501,3.7070000000000007
581,-12.347,-8.752,3.594999999999999
582,-12.514,-8.837,3.6769999999999996
583,-12.703,-8.856,3.8469999999999995
584,-12.497,-8.77,3.7270000000000003
585,-11.858,-8.195,3.6630000000000003
586,-11.741,-7.708,4.0329999999999995
587,-12.096,-8.395,3.7010000000000005
588,-11.992,-8.333,3.6590000000000007
589,-12.074,-8.397,3.6769999999999996
590,-11.857,-8.203,3.654
591,-11.996,-8.262,3.734
592,-11.77,-7.058,4.712
593,-14.57,-10.043,4.527000000000001
594,-11.958,-6.772,5.186
595,-13.244,-7.84,5.404
596,-13.015,-7.571,5.444000000000001
597,-12.678,-7.358,5.320000000000001
598,-12.358,-7.13,5.228000000000001
599,-12.616,-7.288,5.327999999999999
600,-11.8,-7.269,4.531000000000001
601,-11.875,-7.51,4.365
602,-14.602,-10.411,4.191000000000001
603,-12.205,-7.268,4.937
604,-12.24,-7.449,4.791
605,-13.163,-8.157,5.006
606,-13.304,-8.376,4.928000000000001
607,-12.887,-7.816,5.071000000000001
608,-13.015,-7.889,5.126
609,-13.079,-8.409,4.67
610,-12.728,-7.758,4.97
611,-12.8,-7.777,5.023000000000001
612,-12.339,-7.308,5.031000000000001
613,-12.239,-7.242,4.997000000000001
614,-12.514,-7.594,4.919999999999999
615,-12.521,-7.677,4.844000000000001
616,-11.651,-7.29,4.361
617,-11.61,-7.518,4.092
618,-13.819,-10.493,3.3260000000000005
619,-14.599,-10.367,4.231999999999999
620,-11.588,-7.17,4.417999999999999
621,-11.62,-7.404,4.215999999999999
622,-12.851,-8.41,4.441000000000001
623,-13.045,-8.587,4.458
624,-12.467,-8.011,4.456000000000001
625,-12.72,-8.113,4.607000000000001
626,-13.01,-8.668,4.3420000000000005
627,-12.571,-8.079,4.491999999999999
628,-12.239,-8.011,4.2280000000000015
629,-12.079,-7.567,4.5120000000000005
630,-11.905,-7.671,4.233999999999999
631,-12.208,-7.754,4.454000000000001
632,-12.232,-7.929,4.302999999999999
633,-16.456,-10.433,6.023
634,-17.929,-11.1001,6.828899999999999
635,-17.7304,-12.0361,5.6943
636,-16.301,-10.534,5.766999999999998
637,-15.795,-10.386,5.409000000000001
638,-17.739,-12.197,5.542000000000002
639,-16.628,-11.231,5.397
640,-17.8452,-12.3651,5.480099999999998
641,-17.2362,-12.2013,5.0349
642,-16.626,-10.709,5.917000000000002
643,-16.598,-11.101,5.496999999999998
644,-12.756,-7.093,5.663
645,-12.995,-7.261,5.733999999999999
646,-13.986,-8.008,5.9780000000000015
647,-13.769,-8.08,5.689
648,-13.487,-7.74,5.747
649,-12.979,-7.011,5.967999999999999
650,-12.669,-6.772,5.897
651,-13.415,-7.638,5.776999999999999
652,-13.098,-7.359,5.739000000000001
653,-13.531,-7.667,5.864000000000001
654,-12.824,-7.22,5.604
655,-13.817,-7.974,5.843
656,-13.492,-7.885,5.607000000000001
657,-13.569,-7.757,5.812000000000001
658,-13.794,-7.818,5.976000000000001
659,-12.992,-7.035,5.957000000000001
660,-12.494,-6.716,5.778
661,-13.063,-7.331,5.732
662,-13.06,-7.306,5.7540000000000004
663,-13.25,-7.492,5.758
664,-15.74,-9.66,6.08
665,-15.272,-9.256,6.016
666,-15.655,-9.721,5.933999999999999
667,-14.617,-8.484,6.133000000000001
668,-14.329,-8.027,6.302000000000001
669,-14.654,-8.815,5.839
670,-15.387,-9.527,5.860000000000001
671,-15.259,-9.467,5.792
672,-14.956,-8.648,6.308
673,-14.393,-7.793,6.6000000000000005
674,-14.758,-8.689,6.068999999999999
675,-12.293,-8.063,4.229999999999999
676,-15.079,-9.051,6.0280000000000005
677,-14.692,-7.951,6.7410000000000005
678,-14.527,-8.823,5.703999999999999
679,-14.508,-8.612,5.895999999999999
680,-14.397,-8.375,6.022
681,-14.033,-7.56,6.473
682,-14.27,-8.722,5.548
683,-14.355,-8.466,5.889000000000001
684,-17.708,-11.599,6.108999999999998
685,-15.08,-8.715,6.365
686,-13.761,-7.658,6.102999999999999
687,-13.738,-7.71,6.028
688,-13.466,-7.327,6.138999999999999
689,-13.415,-7.134,6.280999999999999
690,-13.722,-7.866,5.856
691,-9.85651,-5.65888,4.19763
692,-9.92236,-5.74351,4.17885
693,-10.333,-5.738,4.595
694,-11.096,-6.301,4.795
695,-10.887,-6.049,4.838
696,-10.969,-6.168,4.800999999999999
697,-10.826,-6.41,4.416
698,-10.979,-6.36,4.618999999999999
699,-10.887,-6.112,4.775
700,-10.815,-6.187,4.627999999999999
701,-10.828,-6.17,4.6579999999999995
702,-10.756,-5.989,4.767
703,-9.70413,-5.68174,4.02239
704,-9.90876,-5.68473,4.224029999999999
705,-9.71012,-5.77453,3.9355899999999995
706,-9.94903,-5.73154,4.217490000000001
707,-9.80672,-5.89617,3.9105500000000006
708,-10.122,-6.034,4.088
709,-11.706,-8.005,3.7009999999999987
710,-11.871,-8.567,3.3040000000000003
711,-10.312,-5.841,4.470999999999999
712,-10.559,-5.952,4.606999999999999
713,-11.029,-6.321,4.708
714,-11.116,-6.428,4.688
715,-10.789,-6.116,4.673
716,-10.921,-6.165,4.755999999999999
717,-10.77,-6.436,4.334
718,-10.944,-6.328,4.6160000000000005
719,-10.906,-6.306,4.6000000000000005
720,-10.883,-6.633,4.249999999999999
721,-10.787,-6.243,4.5440000000000005
722,-10.614,-6.007,4.607000000000001
723,-10.388,-5.908,4.4799999999999995
724,-10.867,-6.092,4.775000000000001
725,-10.748,-6.221,4.526999999999999
726,-10.794,-6.182,4.612
727,-10.803,-6.148,4.655000000000001
728,-10.824,-6.056,4.768
729,-10.727,-6.045,4.682
730,-9.55909,-5.70895,3.8501399999999997
731,-9.5395,-5.73616,3.8033400000000004
732,-10.0481,-5.83657,4.21153
733,-9.64726,-5.91249,3.7347699999999993
734,-11.692,-8.085,3.6069999999999993
735,-12.096,-8.379,3.7170000000000005
736,-10.655,-6.119,4.536
737,-10.137,-5.839,4.298
738,-11.046,-6.495,4.550999999999999
739,-11.159,-6.562,4.597
740,-10.889,-6.291,4.597999999999999
741,-10.911,-6.356,4.555
742,-10.823,-6.601,4.222
743,-10.995,-6.554,4.440999999999999
744,-10.884,-6.551,4.333
745,-10.941,-6.681,4.260000000000001
746,-10.902,-6.357,4.544999999999999
747,-10.625,-6.364,4.261
748,-10.398,-6.063,4.335
